Date;TransType;Item;Description;TransID;TableSource;Qty;OriginalStoreroom;OriginalBin;ToStoreroom;ToBin;Location;PoNumber;InventoryUsage ;WorkOrder;ItemType;ItemCommCodes;WOCommGroup ;ConditionCode;ActualCost;LineCost;FromStoreroom;TopAsset;AssetConCode
17/03/2025;RECEIPT;TL57336;LED-Taschenlampe UV;225922;MATRECTRANS;3;DKR1;;DKR1;DKR1MMBüro;;PO73546;;;;TECH-TOOL;;;48,1;144,3;;;
17/03/2025;ISSUE;29747;TOTAL Quartz INEO MC 3  SAE 5W30;142294;MATUSETRANS;-1,5;STE;;;;ORT1041;;41724;WO1945555;Lubricant;TECH-CONS;PM-FS;;4,39;6,59;STE;243-111;NEW
17/03/2025;ISSUE;29747;TOTAL Quartz INEO MC 3  SAE 5W30;142295;MATUSETRANS;-1;STE;;;;ORT1041;;41724;WO1945555;Lubricant;TECH-CONS;PM-FS;;4,39;4,39;STE;243-111;NEW
17/03/2025;ISSUE;28675;Fire Extinguisher Powder- 6 kg, Presto Type PG 6 Class: A, B, C (S);142296;MATUSETRANS;-1;SHA1;;;;ORT1041;;41723;WO1945555;SparePart;DF;PM-FS;;27,87;27,87;SHA1;243-111;NEW
17/03/2025;ISSUE;28675;Fire Extinguisher Powder- 6 kg, Presto Type PG 6 Class: A, B, C (S);142297;MATUSETRANS;-1;SHA1;;;;ORT1041;;41723;WO1945555;SparePart;DF;PM-FS;;27,87;27,87;SHA1;243-111;NEW
17/03/2025;ISSUE;43001;WD40 450ml;142298;MATUSETRANS;-1;SHA1;;;;ORT1041;;41723;WO1945555;Lubricant;TECH-CONS;PM-FS;;9,65;9,65;SHA1;243-111;NEW
17/03/2025;ISSUE;ITM3890;Waschflüssigkeit T-blue Kemethyl mit Frostschutz 205L Fass;142299;MATUSETRANS;-12;SHA1;;;;ORT1041;;41723;WO1945555;Lubricant;TECH-CONS;PM-FS;;3,46;41,52;SHA1;243-111;NEW
17/03/2025;ISSUE;15151;MANN filter element CU14200;142300;MATUSETRANS;-2;SHA1;;;;ORT1041;;41723;WO1945555;SparePart;QA;PM-FS;;24,85;49,7;SHA1;243-111;NEW
17/03/2025;ISSUE;15150;Filtermatte Klimagerät, 332x216x24mm;142602;MATUSETRANS;-2;SHA1;;;;ORT1041;;41723;WO1945555;SparePart;LC;PM-FS;;1;2;SHA1;243-111;NEW
17/03/2025;TRANSFER;29878;Fühlerlehrensatz 0,05-1,00mm;225923;MATRECTRANS;1;XKS4;Bartz, Marek;XKS4;zur Prüfung/Kalibrierung;;;41734;;;TECH-TOOL;;;0;0;PPO1;;
17/03/2025;TRANSFER;29973;Lötkolben;225924;MATRECTRANS;1;XKS4;Grochulski, Piotr;XKS4;zur Prüfung/Kalibrierung;;;41735;;;TECH-TOOL;;;0;0;DKS4;;
17/03/2025;ISSUE;13579;Schlauchleitung M26X1.5-M26X1.5 Länge=91cm;142603;MATUSETRANS;-1;SHA1;;;;ORT1041;;41733;WO1945121;SparePart;QE;PM-FS;;29,53;29,53;SHA1;243-112;NEW
17/03/2025;ISSUE;ITM3890;Waschflüssigkeit T-blue Kemethyl mit Frostschutz 205L Fass;142604;MATUSETRANS;-5;SHA1;;;;;;41733;WO1945121;Lubricant;TECH-CONS;PM-FS;;3,46;17,3;SHA1;243-112;NEW
17/03/2025;ISSUE;15150;Filtermatte Klimagerät, 332x216x24mm;142605;MATUSETRANS;-2;SHA1;;;;;;41733;WO1945121;SparePart;LC;PM-FS;;1;2;SHA1;243-112;NEW
17/03/2025;ISSUE;29225;Winter Carbon Strips SK1810-SK85W- Int HCCS-C, Schunk;142606;MATUSETRANS;-4;SHA1;;;;;;41733;WO1945121;SparePart;FB;PM-FS;;307,49;1229,96;SHA1;243-112;NEW
17/03/2025;TRANSFER;29878;Fühlerlehrensatz 0,05-1,00mm;225925;MATRECTRANS;1;DKS1;zur Prüfung/Kalibrierung;DKS1;DKS1L01002;;;41736;;;TECH-TOOL;;;0;0;XKS4;;
17/03/2025;TRANSFER;29973;Lötkolben;225926;MATRECTRANS;1;DKS1;zur Prüfung/Kalibrierung;DKS1;DKS1L01002;;;41736;;;TECH-TOOL;;;0;0;XKS4;;
17/03/2025;ISSUE;12606;Castrol Optimol Optigear RMO 20l Gebinde;142543;MATUSETRANS;-15;SLU1;;;;ORT1031;;41676;WO1914311;Lubricant;TECH-CONS;PM-FS;;12,48;187,2;SLU1;185-415;NEW
17/03/2025;ISSUE;12606;Castrol Optimol Optigear RMO 20l Gebinde;142544;MATUSETRANS;-3;SLU1;;;;ORT1031;;41676;WO1914311;Lubricant;TECH-CONS;PM-FS;;12,48;37,44;SLU1;185-415;NEW
17/03/2025;ISSUE;14863;Dichtung Alu 48x55x2mm;142545;MATUSETRANS;-4;SLU1;;;;ORT1031;;41676;WO1914311;SmallPart;TECH-STAP;PM-FS;;1,85;7,4;SLU1;185-415;NEW
17/03/2025;ISSUE;14084;Dichtring Kupfer 18x24x1,5mm;142546;MATUSETRANS;-1;SLU1;;;;ORT1031;;41676;WO1914311;SmallPart;TECH-STAP;PM-FS;;0,33;0,33;SLU1;185-415;NEW
17/03/2025;ISSUE;14084;Dichtring Kupfer 18x24x1,5mm;142547;MATUSETRANS;-3;SLU1;;;;ORT1031;;41676;WO1914311;SmallPart;TECH-STAP;PM-FS;;0,33;0,99;SLU1;185-415;NEW
17/03/2025;ISSUE;12731;Leuchtstoffröhre  L36W/840 1200mm;142548;MATUSETRANS;-1;SLU1;;;;ORT1031;;41676;WO1914311;SparePart;KA;PM-FS;;1,35;1,35;SLU1;185-415;NEW
17/03/2025;ISSUE;30651;Destilliertes Wasser 60 L.;142549;MATUSETRANS;-3;SLU1;;;;ORT1031;;41676;WO1914311;Lubricant;TECH-CONS;PM-FS;;0,52;1,56;SLU1;185-415;NEW
17/03/2025;ISSUE;14081;Dichtring Alu 27x35x2mm;142550;MATUSETRANS;-1;SLU1;;;;ORT1031;;41676;WO1914311;SmallPart;TECH-STAP;PM-FS;;0,45;0,45;SLU1;185-415;NEW
17/03/2025;ISSUE;13397;Ölfilterpatrone Kompressor-Aggregat;142551;MATUSETRANS;-1;SLU1;;;;ORT1031;;41676;WO1914311;SparePart;QA;PM-FS;;68,22;68,22;SLU1;185-415;NEW
17/03/2025;ISSUE;13250;Osram Halogen-Glühlampe 21W 24V BAY9s;142552;MATUSETRANS;-1;SLU1;;;;ORT1031;;41676;WO1914311;SparePart;KA;PM-FS;;4,88;4,88;SLU1;185-415;NEW
17/03/2025;ISSUE;ITM4472;Waschflüssigkeit T-blue Kemethyl mit Frostschutz 25L;142553;MATUSETRANS;-3;SLU1;;;;ORT1031;;41676;WO1914311;Lubricant;TECH-CONS;PM-FS;;2,85;8,55;SLU1;185-415;NEW
17/03/2025;ISSUE;13443;Filtermatte für Fahrmotorlüfter (Grün);142554;MATUSETRANS;-4;SLU1;;;;ORT1031;;41676;WO1914311;SparePart;HE;PM-FS;;1,07;4,28;SLU1;185-415;NEW
17/03/2025;ISSUE;13620;Filtermatte Klimagerät, 290x650x22mm;142555;MATUSETRANS;-2;SLU1;;;;ORT1031;;41676;WO1914311;SparePart;LC;PM-FS;;1,9;3,8;SLU1;185-415;NEW
17/03/2025;ISSUE;29225;Winter Carbon Strips SK1810-SK85W- Int HCCS-C, Schunk;142556;MATUSETRANS;-4;SAN1;;;;ORT1037;;41678;WO1947618;SparePart;FB;PM-FS;;307,49;1229,96;SAN1;243-107;NEW
17/03/2025;ISSUE;15150;Filtermatte Klimagerät, 332x216x24mm;142557;MATUSETRANS;-2;SAN1;;;;ORT1037;;41678;WO1947618;SparePart;LC;PM-FS;;0,65;1,3;SAN1;243-107;NEW
17/03/2025;ISSUE;12605;Locolub Eco (Spurkranz-Schmierstoff), Fuchs Lubritech GmbH;142558;MATUSETRANS;-3;SAN1;;;;ORT1037;;41678;WO1947618;Lubricant;TECH-CONS;PM-FS;;28,71;86,13;SAN1;243-107;NEW
17/03/2025;ISSUE;ITM3444;101E48-Ruban adhésif de masquage 3M;142607;MATUSETRANS;-2;FOS1;;;;;;;WO1899275;SmallPart;MA;MAT-SALES;;4,9;9,8;FOS1;;
17/03/2025;ISSUE;13454;Shell Gadus S3 V220 c-2;142608;MATUSETRANS;-1;FOS1;;;;;;;WO1899275;Lubricant;TECH-CONS;MAT-SALES;;3,6;3,6;FOS1;;
17/03/2025;ISSUE;ITM2182;Pate montage Molykote 1000 1kg;142609;MATUSETRANS;-1;FOS1;;;;;;;WO1899275;;MA;MAT-SALES;;83;83;FOS1;;
17/03/2025;ISSUE;ITM2047;A00081805-Joint 1 module chargeur batterie D53088;142610;MATUSETRANS;-2;FOS1;;;;;;;WO1899275;SmallPart;MA;MAT-SALES;;9,61;19,22;FOS1;;
17/03/2025;ISSUE;13808;Kohleschleifstück SK1332 SK85 HCCS-C (D/SE/NOR);142559;MATUSETRANS;-2;SHA1;;;;;;;WO1960392;SparePart;FB;CM-FS;;314,3;628,6;SHA1;241-007;NEW
17/03/2025;ISSUE;42819;Steg für Wippe;142560;MATUSETRANS;-2;SHA1;;;;;;;WO1960392;SparePart;BG;CM-FS;;113;226;SHA1;241-007;NEW
17/03/2025;ISSUE;54768;Cadre filtre VT-SM (Rechargeable), SF-Filtre;142611;MATUSETRANS;-1;FOS1;;;;;;;WO1956865;SparePart;ZZ;PM-FS;;50,55;50,55;FOS1;BB27142;NEW
17/03/2025;ISSUE;42820;Drehteil für Wippe;142561;MATUSETRANS;-4;SHA1;;;;;;;WO1960392;SparePart;BG;CM-FS;;4,9;19,6;SHA1;241-007;NEW
17/03/2025;ISSUE;55654;Kit de revision Vanne de purge VN(PU)SR(AUX) , AVENTICS/EMERSON;142612;MATUSETRANS;-1;FOS1;;;;;;;WO1956865;SparePart;QA;PM-FS;;103,83;103,83;FOS1;BB27142;NEW
17/03/2025;ISSUE;ITM4543;Kit visserie Chasse Pierre / BB27000;142613;MATUSETRANS;-2;FOS1;;;;;;;WO1956865;SmallPart;TECH-TOOL;PM-FS;;0;0;FOS1;BB27142;NEW
17/03/2025;ISSUE;ITM1854;3452173-Rondelle L 16;142614;MATUSETRANS;-33;FOS1;;;;;;;WO1956865;SmallPart;MA;PM-FS;;0,62;20,46;FOS1;BB27142;NEW
17/03/2025;ISSUE;ITM1764;3520388-Rondelle TREP 3L16 Acier;142615;MATUSETRANS;-33;FOS1;;;;;;;WO1956865;;MA;PM-FS;;1,49;49,17;FOS1;BB27142;NEW
17/03/2025;ISSUE;ITM2094;3968608-Vis tête H ISO 4017 M 16-45;142616;MATUSETRANS;-13;FOS1;;;;;;;WO1956865;;MA;PM-FS;;0,95;12,35;FOS1;BB27142;NEW
17/03/2025;ISSUE;3639945;Vis H M16-40;142617;MATUSETRANS;-20;FOS1;;;;;;;WO1956865;;TECH-STAP;PM-FS;;0,79;15,8;FOS1;BB27142;NEW
17/03/2025;ISSUE;8184313;Rondelle M 12;142618;MATUSETRANS;-33;FOS1;;;;;;;WO1956865;;MA;PM-FS;;0,06;1,98;FOS1;BB27142;NEW
17/03/2025;TRANSFER;27429;Luftfilter für Klimagerät G4/EN779;226293;MATRECTRANS;113;PPO1;Lager;PPO1;PPO10000P1;;;;;SparePart;LC;;;9,7;1096,1;PPO1;;
17/03/2025;ISSUE;ITM1988;1558587-Rondelle CS 12-27-1.8;142619;MATUSETRANS;-33;FOS1;;;;;;;WO1956865;SmallPart;MA;PM-FS;;0,08;2,64;FOS1;BB27142;NEW
17/03/2025;TRANSFER;ITM4396;4mm² (N)HXAF 600/1000V GNYE, Nexans Kabel;226294;MATRECTRANS;50;PPO1;1B4;PPO1;PPO10000P2;;;;;SparePart;UA;;;1,5;75;PPO1;;
17/03/2025;TRANSFER;ITM4396;4mm² (N)HXAF 600/1000V GNYE, Nexans Kabel;226295;MATRECTRANS;50;PPO1;1B4;PPO1;PPO10000P2;;;;;SparePart;UA;;;6,51;325,5;PPO1;;
17/03/2025;ISSUE;ITM2041;A00065502-Joint liaison capot (joint capot/caisse) D50762;142620;MATUSETRANS;-1;FOS1;;;;;;;WO1927009;SparePart;MA;REVI-SO;;354,62;354,62;FOS1;BB27136;
17/03/2025;ISSUE;ITM2041;A00065502-Joint liaison capot (joint capot/caisse) D50762;142622;MATUSETRANS;-1;FOS1;;;;;;;WO1927009;SparePart;MA;REVI-SO;;368,48;368,48;FOS1;BB27136;
17/03/2025;ISSUE;ITM2105;3442765-Attaches de câbles Panduit® Pan-Ty® PLT5H-C0 8,9 x 450;142621;MATUSETRANS;-2;FOS1;;;;;;;WO1927009;;MA;REVI-SO;;0,24;0,48;FOS1;BB27136;
17/03/2025;TRANSFER;14983;SE-Gerät TFZ21-945-51;225927;MATRECTRANS;1;DKR1;;DKR1;DKR1E14210;;;;;SparePart;JF;;REPAIRED;462,98;462,98;;;
