Date;TransType;Item;Description;TransID;TableSource;Qty;OriginalStoreroom;OriginalBin;ToStoreroom;ToBin;Location;PoNumber;InventoryUsage ;WorkOrder;ItemType;ItemCommCodes;WOCommGroup ;ConditionCode;ActualCost;LineCost;FromStoreroom;TopAsset;AssetConCode
12/03/2025;INVOICE;42762;TCN-Gateway *DCY 1703A, Bombardier;223760;MATRECTRANS;0;DKS1;;DKS1;;;PO69572;;;SparePart;TA;;;0;80;;;
12/03/2025;RETURN;ITM1497;BHKR Rear view camera left;141280;MATUSETRANS;1;DKR1;;;;ORT1081;;41536;WO1946450;SparePart;JD;CM-SO;NEW;3190;-3190;DKR1;185-582;NEW
12/03/2025;RETURN;12858;Doppelschloss für Einstiegstür Rechts, inkl. Zubehör;141281;MATUSETRANS;1;DKR1;;;;;;;WO1946450;SparePart;NB;CM-SO;;2391,1;-2391,1;DKR1;185-582;NEW
12/03/2025;RETURN;12847;DC/DC-Wandler G110 G24/20Wrg-cüx 500W, AEG Power Solutions;141282;MATUSETRANS;1;DKR1;;;;ORT1081;;41537;WO1946450;SparePart;FA;CM-SO;REPAIRED;965;-965;DKR1;185-582;NEW
12/03/2025;ISSUE;12846;DC/DC-Wandler G110 G24/20Wrg-cüx BR185, AEG Power Solutions;141283;MATUSETRANS;-1;DKR1;;;;;;;WO1946450;SparePart;FA;CM-SO;;103;103;DKR1;185-582;NEW
12/03/2025;ISSUE;12591;Streuscheibe Variante 4;141284;MATUSETRANS;-2;DKR1;;;;;;;WO1946450;SparePart;KA;CM-SO;;158,01;316,02;DKR1;185-582;NEW
12/03/2025;ISSUE;27429;Luftfilter für Klimagerät G4/EN779;141846;MATUSETRANS;-2;DKR1;;;;ORT1081;;41099;WO1935462;SparePart;LC;PM-FS;;9,7;19,4;DKR1;187-505;NEW
12/03/2025;ISSUE;27456;Filtermatte FM Viledon P15 195x170mm;141847;MATUSETRANS;-4;DKR1;;;;ORT1081;;41099;WO1935462;SparePart;QA;PM-FS;;1,1;4,4;DKR1;187-505;NEW
12/03/2025;ISSUE;16177;Luftfiltereinsatz CF600;141848;MATUSETRANS;-2;DKR1;;;;ORT1081;;41104;WO1924961;SparePart;QA;PM-FS;;17,85;35,7;DKR1;187-505;NEW
12/03/2025;ISSUE;16178;Trockenluftfilter C13114/4;141849;MATUSETRANS;-2;DKR1;;;;ORT1081;;41104;WO1924961;SparePart;QA;PM-FS;;14,1;28,2;DKR1;187-505;NEW
12/03/2025;ISSUE;27429;Luftfilter für Klimagerät G4/EN779;141850;MATUSETRANS;-2;DKR1;;;;ORT1081;;41104;WO1924961;SparePart;LC;PM-FS;;9,7;19,4;DKR1;187-505;NEW
12/03/2025;ISSUE;16827;Multischalter 8-p Spm 3,6kv 1650a;141389;MATUSETRANS;-1;DKR1;;;;;;;WO1903305;SparePart;FB;REVI-FS;;4690;4690;DKR1;186-018;
