Date;TransType;Item;Description;TransID;TableSource;Qty;OriginalStoreroom;OriginalBin;ToStoreroom;ToBin;Location;PoNumber;InventoryUsage ;WorkOrder;ItemType;ItemCommCodes;WOCommGroup ;ConditionCode;ActualCost;LineCost;FromStoreroom;TopAsset;AssetConCode
11/03/2025;SHIPRECEIPT;55119;Vakuumhauptschalter RM 580 mit TPS, Richard AG;223595;MATRECTRANS;1;DKR1;DKS1D04502;DKR1;DKR1000EIN;;;41265;;SparePart;FA;;;14895,29;14895,29;DKS1;;
11/03/2025;INSERTITEM;12733;wiper blade NKW 650mm;3128139;INVTRANS;0;CCH1;;;;;;;;SparePart;JG;;;0;0;;;
11/03/2025;INSERTITEM;13399;MANN Luftfiltereinsatz C1176/4;3128140;INVTRANS;0;CCH1;;;;;;;;SparePart;QA;;;0;0;;;
11/03/2025;INSERTITEM;13413;MANN Luftfiltereinsatz C940;3128141;INVTRANS;0;CCH1;;;;;;;;SparePart;QA;;;0;0;;;
11/03/2025;INSERTITEM;13442;Filtermatte HBU-Schrank;3128142;INVTRANS;0;CCH1;;;;;;;;SparePart;HA;;;0;0;;;
11/03/2025;TRANSFER;ITM1888;3538922-Rondelle M27 (28. 5-42) - NORD LOCK;222167;MATRECTRANS;130;FOS1;FOS1I05204;FOS1;FOS1C01003;;;;;SmallPart;MA;;;1,88;244,4;FOS1;;
11/03/2025;TRANSFER;ITM1888;3538922-Rondelle M27 (28. 5-42) - NORD LOCK;222168;MATRECTRANS;70;FOS1;FOS1I05204;FOS1;FOS1C01003;;;;;SmallPart;MA;;;1,88;131,6;FOS1;;
11/03/2025;SHIPRECEIPT;13781;OmniDrive 2093-$;223596;MATRECTRANS;1;DKR1;;DKR1;DKR1T04209;;;41164;;;TECH-TOOL;;;0;0;PPO1;;
11/03/2025;ISSUE;29203;Wegimpulsgeber., Deuta;141500;MATUSETRANS;-1;DKR1;;;;ORT1081;;41452;WO1958675;SparePart;JA;CM-FS;;1350;1350;DKR1;241-003;NEW
11/03/2025;ISSUE;55119;Vakuumhauptschalter RM 580 mit TPS, Richard AG;141602;MATUSETRANS;-1;DKR1;;;;ORT1081;;41253;WO1955657;SparePart;FA;CM-SO;;14895,29;14895,29;DKR1;187-538;NEW
11/03/2025;RETURN;15375;HPP Card Cage Einschub;141533;MATUSETRANS;1;VZL1;;;;ORT1071;;41454;WO1938342;SparePart;TE;CM-FS;;1111;-1111;VZL1;186-240;NEW
11/03/2025;RECEIPT;ITM2321;RDX 20-Rondelle - 98-54-20;222169;MATRECTRANS;480;FOS1;;FOS1;FOS1I05606;;PO70001;;;;MA;;;1;480;;;
11/03/2025;RECEIPT;ITM4147;BCX25-Olive 96-24-25;222170;MATRECTRANS;200;FOS1;;FOS1;FOS1I05309;;PO70001;;;SmallPart;MA;;;4,39;878;;;
11/03/2025;RECEIPT;ITM4148;RDX25-Rondelle 98-54-25;222171;MATRECTRANS;200;FOS1;;FOS1;FOS1I05302;;PO70001;;;SmallPart;MA;;;1,42;284;;;
11/03/2025;RECEIPT;ITM3801;BCAB22-Rondelle olive 22 BAB_22_ 96-22-22;222172;MATRECTRANS;150;FOS1;;FOS1;FOS1I04407;;PO70001;;;SmallPart;MA;;;1,4;210;;;
11/03/2025;TRANSFER;42851;Afficheur IHM radio;223597;MATRECTRANS;1;FOS1;;FOS1;FOS1G04202;;;;;SparePart;JF;;;1565;1565;;;
11/03/2025;RETURN;13643;Wegimpulsgeber WIG 16 Pulse, Siemens AG;141534;MATUSETRANS;1;SHA1;;;;ORT1041;;41457;WO1893483;SparePart;JA;CM-FS;NEW;1225,53;-1225,53;SHA1;241-002;NEW
11/03/2025;ISSUE;14457;Diagnose-Display SITET 650;141609;MATUSETRANS;-1;DKR1;;;;;;;WO1942830;SparePart;JC;CM-FS_ADD;;7729,94;7729,94;DKR1;189-934;NEW
11/03/2025;RETURN;29203;Wegimpulsgeber., Deuta;141611;MATUSETRANS;1;DKR1;;;;;;;WO1958675;SparePart;JA;CM-FS;;1350;-1350;DKR1;241-003;NEW
11/03/2025;TRANSFER;ITM4147;BCX25-Olive 96-24-25;222173;MATRECTRANS;200;FOS1;FOS1I05309;FOS1;FOS1I06406;;;;;SmallPart;MA;;;4,39;878;FOS1;;
11/03/2025;RETURN;13923;MITRAC DCU-Modul Drive Control Unit DCC 2480H;141535;MATUSETRANS;1;VZL1;;;;ORT1071;;41459;WO1938342;SparePart;JA;CM-FS;REPAIRED;1161;-1161;VZL1;186-240;NEW
11/03/2025;ISSUE;13555;Gleitschutz-Impulsgeber GI6;141612;MATUSETRANS;-1;DKR1;;;;ORT1081;;41456;WO1958675;SparePart;GE;CM-FS;;595,8;595,8;DKR1;241-003;NEW
11/03/2025;TRANSFER;ITM3801;BCAB22-Rondelle olive 22 BAB_22_ 96-22-22;222174;MATRECTRANS;2;FOS1;FOS1I04407;FOS1;FOS1I06402;;;;;SmallPart;MA;;;1,11;2,22;FOS1;;
11/03/2025;TRANSFER;ITM3801;BCAB22-Rondelle olive 22 BAB_22_ 96-22-22;222175;MATRECTRANS;150;FOS1;FOS1I04407;FOS1;FOS1I06402;;;;;SmallPart;MA;;;1,4;210;FOS1;;
11/03/2025;RETURN;14977;Zunge 80mm  für Wegimpulsgeber S25400-T1-B4;141537;MATUSETRANS;1;SHA1;;;;;;;WO1893483;SparePart;TECH-STAP;CM-FS;;0;0;SHA1;241-002;NEW
11/03/2025;TRANSFER;ITM4148;RDX25-Rondelle 98-54-25;222176;MATRECTRANS;200;FOS1;FOS1I05302;FOS1;FOS1I06408;;;;;SmallPart;MA;;;1,42;284;FOS1;;
11/03/2025;TRANSFER;29816;Sicherheitsventil NHS 10,3bar;223609;MATRECTRANS;1;HKO1;;HKO1;HKO1C08206;;;;;SparePart;QA;;REPAIRED;0;0;;;
11/03/2025;TRANSFER;13162;Radsatzlenker 64300703;223610;MATRECTRANS;1;SHA1;SHA1S50103;SHA1;SHA1S50101;;;41458;;SparePart;EE;;REPAIRED;432;432;SHA1;;
11/03/2025;TRANSFER;13162;Radsatzlenker 64300703;223611;MATRECTRANS;1;SHA1;SHA1S50103;SHA1;SHA1S50101;;;41458;;SparePart;EE;;NEW;723,9;723,9;SHA1;;
11/03/2025;TRANSFER;13162;Radsatzlenker 64300703;223612;MATRECTRANS;1;SHA1;SHA1S50103;SHA1;SHA1S50101;;;41458;;SparePart;EE;;NEW;723,9;723,9;SHA1;;
11/03/2025;TRANSFER;13162;Radsatzlenker 64300703;223613;MATRECTRANS;1;SHA1;SHA1S50103;SHA1;SHA1S50101;;;41458;;SparePart;EE;;NEW;723,9;723,9;SHA1;;
11/03/2025;TRANSFER;13162;Radsatzlenker 64300703;223614;MATRECTRANS;1;SHA1;SHA1S50103;SHA1;SHA1S50101;;;41458;;SparePart;EE;;NEW;723,9;723,9;SHA1;;
11/03/2025;TRANSFER;13162;Radsatzlenker 64300703;223615;MATRECTRANS;1;SHA1;SHA1S50103;SHA1;SHA1S50101;;;41458;;SparePart;EE;;NEW;723,9;723,9;SHA1;;
11/03/2025;TRANSFER;13162;Radsatzlenker 64300703;223616;MATRECTRANS;1;SHA1;SHA1S50103;SHA1;SHA1S50101;;;41458;;SparePart;EE;;NEW;723,9;723,9;SHA1;;
11/03/2025;TRANSFER;13162;Radsatzlenker 64300703;223617;MATRECTRANS;1;SHA1;SHA1S50103;SHA1;SHA1S50101;;;41458;;SparePart;EE;;REPAIRED;270;270;SHA1;;
11/03/2025;TRANSFER;13162;Radsatzlenker 64300703;223618;MATRECTRANS;1;SHA1;SHA1S50103;SHA1;SHA1S50101;;;41458;;SparePart;EE;;REPAIRED;432;432;SHA1;;
11/03/2025;TRANSFER;13162;Radsatzlenker 64300703;223619;MATRECTRANS;1;SHA1;SHA1S50103;SHA1;SHA1S50101;;;41458;;SparePart;EE;;REPAIRED;407;407;SHA1;;
11/03/2025;TRANSFER;13162;Radsatzlenker 64300703;223620;MATRECTRANS;1;SHA1;SHA1S50103;SHA1;SHA1S50101;;;41458;;SparePart;EE;;REPAIRED;407;407;SHA1;;
11/03/2025;TRANSFER;13162;Radsatzlenker 64300703;223621;MATRECTRANS;1;SHA1;SHA1S50103;SHA1;SHA1S50101;;;41458;;SparePart;EE;;REPAIRED;407;407;SHA1;;
11/03/2025;TRANSFER;13162;Radsatzlenker 64300703;223622;MATRECTRANS;1;SHA1;SHA1S50103;SHA1;SHA1S50101;;;41458;;SparePart;EE;;REPAIRED;431;431;SHA1;;
11/03/2025;TRANSFER;13165;Achsstrebe Drehgestell für Aufhängung Antrieb;223623;MATRECTRANS;1;SHA1;SHA1S50103;SHA1;SHA1S50101;;;41458;;SparePart;EA;;NEW;640;640;SHA1;;
