Date;TransType;Item;Description;TransID;TableSource;Qty;OriginalStoreroom;OriginalBin;ToStoreroom;ToBin;Location;PoNumber;InventoryUsage ;WorkOrder;ItemType;ItemCommCodes;WOCommGroup ;ConditionCode;ActualCost;LineCost;FromStoreroom;TopAsset;AssetConCode;
14/03/2025;INSERTITEM;28952;Doppler Radar DRS05-S1-30T;3128425;INVTRANS;0;SBL2;;;;;;;;SparePart;JD;;;0;0;;;;FALSE
14/03/2025;INSERTITEM;28952;Doppler Radar DRS05-S1-30T;3128426;INVTRANS;0;XKS9;;;;;;;;SparePart;JD;;;0;0;;;;FALSE
14/03/2025;INSERTITEM;28952;Doppler Radar DRS05-S1-30T;3128427;INVTRANS;0;XKS1;;;;;;;;SparePart;JD;;;0;0;;;;FALSE
14/03/2025;INSERTITEM;28952;Doppler Radar DRS05-S1-30T;3128428;INVTRANS;0;XWS1;;;;;;;;SparePart;JD;;;0;0;;;;FALSE
14/03/2025;TRANSFER;55030;Schlauch 25x7 Elastomer m Textileinlage;225485;MATRECTRANS;1;PPO1;;PPO1;I2;;;;;SparePart;TECH-STAP;;;4,7;4,7;PPO1;;;TRUE
14/03/2025;TRANSFER;15576;Schlauchleitung 2te08nn700;225486;MATRECTRANS;1;PPO1;;PPO1;2C5;;;;;SparePart;MC;;;19;19;PPO1;;;TRUE
14/03/2025;TRANSFER;54694;Midel 7131 im 20 Liter Gebinde;225487;MATRECTRANS;40;PPO1;BodenH;PPO1;Schmierstoffe;;;;;Lubricant;TECH-CONS;;;5,96;238,4;PPO1;;;TRUE
14/03/2025;TRANSFER;ITM3338;Shell Gadus S2 A 320 2 – 18 kg container;225488;MATRECTRANS;1;PPO1;BodenH;PPO1;Schmierstoffe;;;;;Lubricant;TECH-CONS;;;124,97;124,97;PPO1;;;TRUE
14/03/2025;TRANSFER;30483;Felgenreiniger;225489;MATRECTRANS;180;PPO1;BodenH;PPO1;Schmierstoffe;;;;;Lubricant;TECH-CONS;;;1,38;248,4;PPO1;;;TRUE
14/03/2025;RECEIPT;43416;O-Ring 160x3 NBR70SH, Hansa-Flex;225745;MATRECTRANS;50;PPO1;;PPO1;4C3;;PO72997;;;SparePart;TECH-STAP;;;1,4;70;;;;FALSE
14/03/2025;RECEIPT;ITM5313;O-Ring 33x5 NBR70;225746;MATRECTRANS;50;PPO1;;PPO1;4C3;;PO72997;;;SmallPart;TECH-STAP;;;1,4;70;;;;FALSE
14/03/2025;RECEIPT;ITM5314;O-Ring 185x3,55 NBR70;225747;MATRECTRANS;53;PPO1;;PPO1;4C3;;PO72997;;;SmallPart;TECH-STAP;;;1,85;98,05;;;;FALSE
14/03/2025;TRANSFER;13292;Feldbusmodul CANopen DIORAIL (745790);225748;MATRECTRANS;1;SHA1;SHA1S44406;SHA1;SHA1S44401;;;41689;;SparePart;JE;;REPAIRED;267,63;267,63;SHA1;;;TRUE
14/03/2025;INSERTITEM;TL57340;Kärcher Petronenfilter KFI 3310;3128384;INVTRANS;0;DKS1;;;;;;;;;TECH-TOOL;;;0;0;;;;FALSE
14/03/2025;TRANSFER;ITM1327;Gleitschutzventil DV 12 PT, 24VDC;225626;MATRECTRANS;1;DKS1;;DKS1;DKS1J31505;;;;;SparePart;GE;;REPAIRED;653,45;653,45;;;;FALSE
14/03/2025;INSERTITEM;TL57340;Kärcher Petronenfilter KFI 3310;3128385;INVTRANS;0;PPO1;;;;;;;;;TECH-TOOL;;;0;0;;;;FALSE
14/03/2025;ISSUE;15689;Radialventilator HBU;142277;MATUSETRANS;-1;PPO1;;;;PLACEOFREPAIR;;41690;;SparePart;HE;;;2645,6;2645,6;PPO1;;;TRUE
14/03/2025;INSERTITEM;TL57341;Kärcher Verlängerungsrohr Nr: 2.863-308.0;3128386;INVTRANS;0;DKS1;;;;;;;;;TECH-TOOL;;;0;0;;;;FALSE
14/03/2025;INSERTITEM;TL57341;Kärcher Verlängerungsrohr Nr: 2.863-308.0;3128387;INVTRANS;0;PPO1;;;;;;;;;TECH-TOOL;;;0;0;;;;FALSE
14/03/2025;TRANSFER;13295;Feldbusmodul CANopen DIORAIL (745794);225749;MATRECTRANS;1;SHA1;SHA1S44501;SHA1;SHA1S44404;;;41691;;SparePart;JE;;NEW;1440,6;1440,6;SHA1;;;TRUE
14/03/2025;INSERTITEM;TL57342;KÄRCHER Fugendüse Fugendüse DN35, 6.900-385.0;3128388;INVTRANS;0;DKS1;;;;;;;;;TECH-TOOL;;;0;0;;;;FALSE
14/03/2025;INSERTITEM;TL57342;KÄRCHER Fugendüse Fugendüse DN35, 6.900-385.0;3128389;INVTRANS;0;PPO1;;;;;;;;;TECH-TOOL;;;0;0;;;;FALSE
14/03/2025;TRANSFER;ITM1249;DC/DC converter 50 W, 24 V, 24 V, 2 A;225750;MATRECTRANS;4;SHA1;SHA1S44606;SHA1;SHA1S44604;;;;;SparePart;FA;;;158,78;635,12;SHA1;;;TRUE
14/03/2025;INSERTITEM;TL57343;Kärcher Ersatzteile Schlauch Kpl.;3128390;INVTRANS;0;DKS1;;;;;;;;;TECH-TOOL;;;0;0;;;;FALSE
14/03/2025;INSERTITEM;TL57343;Kärcher Ersatzteile Schlauch Kpl.;3128391;INVTRANS;0;PPO1;;;;;;;;;TECH-TOOL;;;0;0;;;;FALSE
14/03/2025;INSERTITEM;TL57344;Kärcher Zubehör Bodendüse Clip;3128392;INVTRANS;0;DKS1;;;;;;;;;TECH-TOOL;;;0;0;;;;FALSE
14/03/2025;INSERTITEM;TL57344;Kärcher Zubehör Bodendüse Clip;3128393;INVTRANS;0;PPO1;;;;;;;;;TECH-TOOL;;;0;0;;;;FALSE
14/03/2025;STAGETRANSFER;28952;Doppler Radar DRS05-S1-30T;225490;MATRECTRANS;1;DKS1;DKS1J08503;DKS1;DKS1J08503;;;41692;;SparePart;JD;;REPAIRED;850;850;DKS1;;;TRUE
14/03/2025;STAGETRANSFER;13768;SCMT MMI Display;225491;MATRECTRANS;1;DKS1;DKS1G03202;DKS1;DKS1G03202;;;41692;;SparePart;JC;;REPAIRED;2308;2308;DKS1;;;TRUE
14/03/2025;INSERTITEM;TL57345;Kärcher Zubehör Einsatz nass Bodend.;3128394;INVTRANS;0;DKS1;;;;;;;;;TECH-TOOL;;;0;0;;;;FALSE
14/03/2025;INSERTITEM;TL57345;Kärcher Zubehör Einsatz nass Bodend.;3128395;INVTRANS;0;PPO1;;;;;;;;;TECH-TOOL;;;0;0;;;;FALSE
14/03/2025;INSERTITEM;TL57346;Kärcher Zubehör Einsatz trocken Bodendüse;3128396;INVTRANS;0;DKS1;;;;;;;;;TECH-TOOL;;;0;0;;;;FALSE
14/03/2025;INSERTITEM;TL57346;Kärcher Zubehör Einsatz trocken Bodendüse;3128397;INVTRANS;0;PPO1;;;;;;;;;TECH-TOOL;;;0;0;;;;FALSE
14/03/2025;STAGETRANSFER;16720;Bremszangeneinheit mit Federspeicher;225492;MATRECTRANS;1;DKR1;DKR1A11001;DKR1;DKR1A11001;;;41693;;SparePart;RB;;REPAIRED;2337;2337;DKR1;;;TRUE
14/03/2025;INSERTITEM;TL57347;Vliesfilterbeutek KFI 357 - Packung a 4 Stück;3128398;INVTRANS;0;DKS1;;;;;;;;;TECH-TOOL;;;0;0;;;;FALSE
14/03/2025;INSERTITEM;TL57347;Vliesfilterbeutek KFI 357 - Packung a 4 Stück;3128399;INVTRANS;0;PPO1;;;;;;;;;TECH-TOOL;;;0;0;;;;FALSE
14/03/2025;TRANSFER;56405;Druckwächter MCS 11 G+S3 10,0 - 8,5 bar;225751;MATRECTRANS;2;SHA1;SHA1S44204;SHA1;SHA1S44201;;;;;SparePart;JB;;;825,5;1651;SHA1;;;TRUE
14/03/2025;ISSUE;13226;Schalter direkte Bremse SS2L-04Z-X-A99 (BR 185.1);142174;MATUSETRANS;-1;DKR1;;;;ORT1081;;41687;WO1946603;SparePart;TD;CM-FS;;637;637;DKR1;185-549;NEW;TRUE
14/03/2025;RECEIPT;ITM5265;~null~;225848;MATRECTRANS;10;FST1+2;;FST1+2;FST1C01004;;PO72813;;;SmallPart;TECH-STAP;;;3,62;36,2;;;;FALSE
14/03/2025;TRANSFER;13227;Faltenbalg KMD20 für Schalter direkte Bremse;225752;MATRECTRANS;8;SHA1;SHA1S44106;SHA1;SHA1S44204;;;;;SparePart;RA;;;10,2;81,6;SHA1;;;TRUE
14/03/2025;TRANSFER;16551;Wischermotor Rechts+Links;225493;MATRECTRANS;1;ADAM.FIDALI-ST;Fidali, Adam;ADAM.FIDALI-ST;;;;41694;;SparePart;JG;;;475,55;475,55;PTE;;;FALSE
14/03/2025;TRANSFER;14280;Wischerlager;225494;MATRECTRANS;1;ADAM.FIDALI-ST;Fidali, Adam;ADAM.FIDALI-ST;;;;41694;;SparePart;JG;;;166;166;PTE;;;FALSE
14/03/2025;TRANSFER;14280;Wischerlager;225495;MATRECTRANS;1;ADAM.FIDALI-ST;Fidali, Adam;ADAM.FIDALI-ST;;;;41694;;SparePart;JG;;;166;166;PTE;;;FALSE
14/03/2025;TRANSFER;12653;Kohleschleifstück SK1073C SK85ACu (NL, CZ) mit 15°-Enden;225496;MATRECTRANS;4;ADAM.FIDALI-ST;Fidali, Adam;ADAM.FIDALI-ST;;;;41694;;SparePart;FB;;;638;2552;PTE;;;FALSE
14/03/2025;TRANSFER;12639;Kohleschleifstück SK745 SK85W (D) mit 90°-Enden;225497;MATRECTRANS;4;ADAM.FIDALI-ST;Fidali, Adam;ADAM.FIDALI-ST;;;;41694;;SparePart;FB;;;93,67;374,68;PTE;;;FALSE
14/03/2025;INSERTITEM;16551;Wischermotor Rechts+Links;3128429;INVTRANS;0;ADAM.FIDALI-ST;;;;;;;;SparePart;JG;;;0;0;;;;FALSE
14/03/2025;INSERTITEM;14280;Wischerlager;3128430;INVTRANS;0;ADAM.FIDALI-ST;;;;;;;;SparePart;JG;;;0;0;;;;FALSE
14/03/2025;INSERTITEM;12653;Kohleschleifstück SK1073C SK85ACu (NL, CZ) mit 15°-Enden;3128431;INVTRANS;0;ADAM.FIDALI-ST;;;;;;;;SparePart;FB;;;0;0;;;;FALSE
14/03/2025;INSERTITEM;12639;Kohleschleifstück SK745 SK85W (D) mit 90°-Enden;3128432;INVTRANS;0;ADAM.FIDALI-ST;;;;;;;;SparePart;FB;;;0;0;;;;FALSE
14/03/2025;STAGETRANSFER;28952;Doppler Radar DRS05-S1-30T;225498;MATRECTRANS;1;DKS1;DKS1J08503;DKS1;DKS1J08503;;;41692;;SparePart;JD;;REPAIRED;850;850;DKS1;;;TRUE
14/03/2025;STAGETRANSFER;13768;SCMT MMI Display;225499;MATRECTRANS;1;DKS1;DKS1G03202;DKS1;DKS1G03202;;;41692;;SparePart;JC;;REPAIRED;2308;2308;DKS1;;;TRUE
14/03/2025;STAGETRANSFER;28952;Doppler Radar DRS05-S1-30T;225500;MATRECTRANS;1;DKS1;DKS1D06103;DKS1;DKS1D06103;;;41695;;SparePart;JD;;NEW;9079,31;9079,31;DKS1;;;TRUE
14/03/2025;STAGETRANSFER;13768;SCMT MMI Display;225902;MATRECTRANS;1;DKS1;DKS1G03202;DKS1;DKS1G03202;;;41695;;SparePart;JC;;REPAIRED;2308;2308;DKS1;;;TRUE
14/03/2025;TRANSFER;13268;Kombilufttaster Niveau/Lordose vormontiert;225903;MATRECTRANS;1;ADAM.FIDALI-ST;C3;ADAM.FIDALI-ST;;;;41697;;SparePart;DC;;;134;134;PPO1;;;FALSE
14/03/2025;TRANSFER;12649;Wiper arm 700mm right + left;225904;MATRECTRANS;1;ADAM.FIDALI-ST;G3;ADAM.FIDALI-ST;;;;41697;;SparePart;JG;;;170,87;170,87;PPO1;;;FALSE
14/03/2025;INSERTITEM;13268;Kombilufttaster Niveau/Lordose vormontiert;3128433;INVTRANS;0;ADAM.FIDALI-ST;;;;;;;;SparePart;DC;;;0;0;;;;FALSE
14/03/2025;INSERTITEM;12649;Wiper arm 700mm right + left;3128434;INVTRANS;0;ADAM.FIDALI-ST;;;;;;;;SparePart;JG;;;0;0;;;;FALSE
14/03/2025;ISSUE;12814;UIC 541-5 EP-Dose 9-polig incl. Verkabelung (o.F.);142175;MATUSETRANS;-1;DKR1;;;;ORT1081;;41666;WO1963095;SparePart;SG;CM-FS;;883,27;883,27;DKR1;186-157;NEW;TRUE
14/03/2025;ISSUE;14312;Vorsteckscheibe Grün für Handleuchte IL-60;142176;MATUSETRANS;-2;DKR1;;;;ORT1081;;41667;WO1963094;SparePart;TOOL;CM-FS;;13,61;27,22;DKR1;186-157;NEW;TRUE
14/03/2025;TRANSFER;56592;Schleifstück SK1091-SK85ACu BöKleb, Schunk (PL);225905;MATRECTRANS;4;ADAM.FIDALI-ST;Schleifleistenregal;ADAM.FIDALI-ST;;;;41699;;SparePart;FB;;;715,08;2860,32;PPO1;;;FALSE
14/03/2025;TRANSFER;12640;Kohleschleifstück SK835 SK85Cu (NL) mit 15°-Enden;225906;MATRECTRANS;2;ADAM.FIDALI-ST;Schleifleistenregal;ADAM.FIDALI-ST;;;;41699;;SparePart;FB;;;288;576;PPO1;;;FALSE
14/03/2025;TRANSFER;12640;Kohleschleifstück SK835 SK85Cu (NL) mit 15°-Enden;225907;MATRECTRANS;4;ADAM.FIDALI-ST;Schleifleistenregal;ADAM.FIDALI-ST;;;;41699;;SparePart;FB;;;288;1152;PPO1;;;FALSE
14/03/2025;TRANSFER;12640;Kohleschleifstück SK835 SK85Cu (NL) mit 15°-Enden;225908;MATRECTRANS;2;ADAM.FIDALI-ST;Schleifleistenregal;ADAM.FIDALI-ST;;;;41699;;SparePart;FB;;;288;576;PPO1;;;FALSE
14/03/2025;TRANSFER;15528;Kohleschleifstück SK1400 SK85ACu (PL);225909;MATRECTRANS;4;ADAM.FIDALI-ST;P3;ADAM.FIDALI-ST;;;;41699;;SparePart;FB;;;507,8;2031,2;PPO1;;;FALSE
14/03/2025;TRANSFER;12636;Kohleschleifstück SK1560 SK85W (D);225910;MATRECTRANS;2;ADAM.FIDALI-ST;Schleifleistenregal;ADAM.FIDALI-ST;;;;41699;;SparePart;FB;;;133,4;266,8;PPO1;;;FALSE
14/03/2025;INSERTITEM;12636;Kohleschleifstück SK1560 SK85W (D);3128435;INVTRANS;0;ADAM.FIDALI-ST;;;;;;;;SparePart;FB;;;0;0;;;;FALSE
14/03/2025;ISSUE;12876;Sicherungsfeder / Zugfeder für Zugsicherungs-Anschlußkabel;142178;MATUSETRANS;-1;DKR1;;;;;;;WO1963095;SparePart;JD;CM-FS;;9,9;9,9;DKR1;186-157;NEW;TRUE
14/03/2025;TRANSFER;12640;Kohleschleifstück SK835 SK85Cu (NL) mit 15°-Enden;225911;MATRECTRANS;2;PPO1;;PPO1;Schleifleistenregal;;;;;SparePart;FB;;;288;576;ADAM.FIDALI-ST;;;FALSE
14/03/2025;TRANSFER;12640;Kohleschleifstück SK835 SK85Cu (NL) mit 15°-Enden;225912;MATRECTRANS;2;PPO1;;PPO1;Schleifleistenregal;;;;;SparePart;FB;;;288;576;ADAM.FIDALI-ST;;;FALSE
14/03/2025;TRANSFER;13831;IGBT Phasenbaustein SIBAC BB S3P-3000WL - Erzeugnis-Nummer: 450 375.9007.00, Siemens AG;225849;MATRECTRANS;1;DLP1;;DLP1;;;;;;SparePart;FD;;DEFECT;0;0;;;;FALSE
14/03/2025;TRANSFER;56592;Schleifstück SK1091-SK85ACu BöKleb, Schunk (PL);225914;MATRECTRANS;4;PPO1;;PPO1;Schleifleistenregal;;;;;SparePart;FB;;;715,08;2860,32;ADAM.FIDALI-ST;;;FALSE
14/03/2025;ISSUE;28675;Fire Extinguisher Powder- 6 kg, Presto Type PG 6 Class: A, B, C (S);142181;MATUSETRANS;-1;DKR1;;;;;;;WO1930196;SparePart;DF;PM-FS;;22;22;DKR1;241-003;NEW;TRUE
14/03/2025;STAGETRANSFER;13831;IGBT Phasenbaustein SIBAC BB S3P-3000WL - Erzeugnis-Nummer: 450 375.9007.00, Siemens AG;225850;MATRECTRANS;1;DLP1;;DLP1;;;;41701;;SparePart;FD;;DEFECT;0;0;DLP1;;;TRUE
14/03/2025;STAGETRANSFER;15288;IGBT Phasenbaustein SIBAC BB SP-3000WL – Erzeugnis-Nummer: 450 375.9006.00;225851;MATRECTRANS;1;DLP1;DLP1000EIN;DLP1;DLP1000EIN;;;41701;;SparePart;FD;;REPAIRED;20400;20400;DLP1;;;TRUE
14/03/2025;ISSUE;55888;Generateur de sons EQ-1051-000, LOGIPLUS;142185;MATUSETRANS;-1;FOS1;;;;;;;WO1939463;SparePart;ZZ;CM-FS;;0;0;FOS1;BB27114;NEW;TRUE
14/03/2025;STAGETRANSFER;55918;Sechskantschraube M16x65, 8.8;225627;MATRECTRANS;2;DKS1;DKS1I02204;DKS1;DKS1I02204;;;41703;;SmallPart;TECH-STAP;;;7,4;14,8;DKS1;;;TRUE
14/03/2025;TRANSFER;55888;Generateur de sons EQ-1051-000, LOGIPLUS;225915;MATRECTRANS;1;FOS1;;FOS1;FOS1G03101;;;;;SparePart;ZZ;;;0;0;;;;FALSE
14/03/2025;TRANSFER;12749;KC Trockenperlen Orange CHAMELEON 2050 25 kg;225916;MATRECTRANS;1;PPO1;;PPO1;Schmierstoffe;;;;;Lubricant;TECH-CONS;;;10,4;10,4;PPO1;;;TRUE
14/03/2025;TRANSFER;12749;KC Trockenperlen Orange CHAMELEON 2050 25 kg;225917;MATRECTRANS;2;PPO1;;PPO1;Schmierstoffe;;;;;Lubricant;TECH-CONS;;;10,4;20,8;GRZEGORZ.RUCINSKI-ST;;;FALSE
14/03/2025;ISSUE;28675;Fire Extinguisher Powder- 6 kg, Presto Type PG 6 Class: A, B, C (S);142187;MATUSETRANS;-1;DKR1;;;;;;;WO1930196;SparePart;DF;PM-FS;;22;22;DKR1;241-003;NEW;TRUE
14/03/2025;TRANSFER;28977;Schlüssel GCC820 EbuLa;225918;MATRECTRANS;1;PPO1;G.Ruci?ski;PPO1;Büro;;;;;SmallPart;TD;;;9;9;PTE;;;FALSE
14/03/2025;SHIPTRANSFER;55213;Contact auxiliaire ABB CA5-40E / ABB CA4-40E;225628;MATRECTRANS;1;FRD1;FOS1H04407;FRD1;;;;41575;;SparePart;FC;;;14,58;14,58;FOS1;;;FALSE
14/03/2025;SHIPTRANSFER;55213;Contact auxiliaire ABB CA5-40E / ABB CA4-40E;225629;MATRECTRANS;1;FRD1;FOS1H04407;FRD1;;;;41575;;SparePart;FC;;;18,33;18,33;FOS1;;;FALSE
14/03/2025;SHIPTRANSFER;55213;Contact auxiliaire ABB CA5-40E / ABB CA4-40E;225630;MATRECTRANS;1;FRD1;FOS1H04407;FRD1;;;;41575;;SparePart;FC;;;18,33;18,33;FOS1;;;FALSE
