Date;TransType;Item;Description;TransID;TableSource;Qty;OriginalStoreroom;OriginalBin;ToStoreroom;ToBin;Location;PoNumber;InventoryUsage ;WorkOrder;ItemType;ItemCommCodes;WOCommGroup ;ConditionCode;ActualCost;LineCost;FromStoreroom;TopAsset;AssetConCode
13/03/2025;RECEIPT;15084;;225502;MATRECTRANS;2;DKR1;;DKR1;DKR1F05403;;PO73156;;;SparePart;UA;;;1158,9;2317,8;;;
13/03/2025;RETURN;29200;;142102;MATUSETRANS;1;VZL1;;;;ORT1071;;41605;WO1958296;SparePart;GC;CM-FS;;2462,3;-2462,3;VZL1;187-504;NEW
13/03/2025;RETURN;ITM4329;;142103;MATUSETRANS;1;VZL1;;;;ORT1071;;41606;WO1958296;SparePart;TECH-STAP;CM-FS;;1290;-1290;VZL1;187-504;NEW
13/03/2025;TRANSFER;ITM4329;;225602;MATRECTRANS;1;DTE;Railpool Lokservice Hamburg Altenwerder;DTE;Lach, Stephan;;;41607;;SparePart;TECH-STAP;;NEW;1290;1290;VZL1;;
13/03/2025;TRANSFER;29200;;225603;MATRECTRANS;1;DTE;Railpool Lokservice Hamburg Altenwerder;DTE;Lach, Stephan;;;41607;;SparePart;GC;;REPAIRED;2462,3;2462,3;VZL1;;
13/03/2025;INSERTITEM;ITM4329;;3128202;INVTRANS;0;DTE;;;;;;;;SparePart;TECH-STAP;;;0;0;;;
13/03/2025;INSERTITEM;29200;;3128203;INVTRANS;0;DTE;;;;;;;;SparePart;GC;;;0;0;;;
13/03/2025;ISSUE;13443;;142104;MATUSETRANS;-4;SHA1;;;;ORT1041;;41603;WO1956361;SparePart;HE;PM-SO;;1,07;4,28;SHA1;482-049;
13/03/2025;ISSUE;13620;;142105;MATUSETRANS;-2;SHA1;;;;ORT1041;;41603;WO1956361;SparePart;LC;PM-SO;;1,4;2,8;SHA1;482-049;
13/03/2025;ISSUE;12732;;142106;MATUSETRANS;-4;SHA1;;;;ORT1041;;41603;WO1956361;SparePart;JG;PM-SO;;13,52;54,08;SHA1;482-049;
13/03/2025;ISSUE;14589;;142107;MATUSETRANS;-1;SHA1;;;;ORT1041;;41603;WO1956361;SparePart;MB;PM-SO;;36,87;36,87;SHA1;482-049;
