Date;TransType;Item;Description;TransID;TableSource;Qty;OriginalStoreroom;OriginalBin;ToStoreroom;ToBin;Location;PoNumber;InventoryUsage ;WorkOrder;ItemType;ItemCommCodes;WOCommGroup ;ConditionCode;ActualCost;LineCost;FromStoreroom;TopAsset;AssetConCode
2025-03-10;ISSUE;42134_ITEM;FILTRE CU1/140X140X12G3, SF- FILTRES;141456.0;MATUSETRANS;-2.0;FOS1;;;;;;;WO1950189;SparePart;MA;CM-FS;;12,38;24,76;FOS1;BB27146;NEW
2025-03-10;ISSUE;55067_ITEM;Plateau de siege conducteur, GRAMMER;141457.0;MATUSETRANS;-1.0;FOS1;;;;;;;WO1950189;SparePart;ZZ;CM-FS;;255;255;FOS1;BB27146;NEW
2025-03-10;TRANSFER;27404_ITEM;Stromrichterpumpe (PRIMA Lok);222277.0;MATRECTRANS;1.0;FOS1;;FOS1;FOS1C02401;;;;;SparePart;FD;;REPAIRED;0;0;;;
2025-03-10;ISSUE;41964_ITEM;CONSOLE CONFIGUREE 2U;141459.0;MATUSETRANS;-1.0;FOS1;;;;ORT1576;;41371.0;WO1947400;SparePart;GC;CM-FS;;1800;1800;FOS1;BB27146;NEW
2025-03-10;ISSUE;31603_ITEM;RELAIS Q(T)RH, ALSTOM;141460.0;MATUSETRANS;-1.0;FOS1;;;;;;;WO1956156;SparePart;FA;CM-FS_ADD;;1655;1655;FOS1;BB27111;NEW
2025-03-10;ISSUE;14377_ITEM;Batterieladegerät BLG TRAXX 3P, Pintsch Bamag;141341.0;MATUSETRANS;-1.0;DKR1;;;;;;;WO1903305;SparePart;HC;REVI-FS;;2420;2420;DKR1;186-018;
2025-03-10;TRANSFER;27404_ITEM;Stromrichterpumpe (PRIMA Lok);222278.0;MATRECTRANS;1.0;FOS1;;FOS1;FOS1C02401;;;;;SparePart;FD;;REPAIRED;0;0;;;
2025-03-10;ISSUE;13443_ITEM;Filtermatte für Fahrmotorlüfter (Grün);141461.0;MATUSETRANS;-2.0;HKO1;;;;;;;WO1921556;SparePart;HE;PM-FS;;1,07;2,14;HKO1;285-109;NEW
2025-03-10;ISSUE;13443_ITEM;Filtermatte für Fahrmotorlüfter (Grün);141470.0;MATUSETRANS;-2.0;HKO1;;;;;;;WO1921556;SparePart;HE;PM-FS;;1,07;2,14;HKO1;285-109;NEW
2025-03-10;ISSUE;13620_ITEM;Filtermatte Klimagerät, 290x650x22mm;141462.0;MATUSETRANS;-2.0;HKO1;;;;;;;WO1921556;SparePart;LC;PM-FS;;1,9;3,8;HKO1;285-109;NEW
2025-03-10;ISSUE;56235_ITEM;Filterelement;141463.0;MATUSETRANS;-1.0;HKO1;;;;;;;WO1921556;SparePart;QA;PM-FS;;59;59;HKO1;285-109;NEW
2025-03-10;ISSUE;30221_ITEM;Shell Rimula R6LM 10W40 / Fût 209L, SHELL;141464.0;MATUSETRANS;-20.0;HKO1;;;;;;;WO1921556;Lubricant;TECH-CONS;PM-FS;;4,28;85,6;HKO1;285-109;NEW
2025-03-10;ISSUE;55425_ITEM;Kraftstofffilterpatrone Vorwärmanlage 350.126;141465.0;MATUSETRANS;-1.0;HKO1;;;;;;;WO1921556;SparePart;QC;PM-FS;;19,55;19,55;HKO1;285-109;NEW
2025-03-10;ISSUE;55423_ITEM;Brennstoffdüse 35kw;141466.0;MATUSETRANS;-1.0;HKO1;;;;;;;WO1921556;SparePart;ZZ;PM-FS;;21,25;21,25;HKO1;285-109;NEW
2025-03-10;ISSUE;55427_ITEM;Zündelektrode Webasto Thermo 350.126;141467.0;MATUSETRANS;-1.0;HKO1;;;;;;;WO1921556;SparePart;FF;PM-FS;;8,07;8,07;HKO1;285-109;NEW
2025-03-10;ISSUE;14242_ITEM;SABESTO Pflege- und Gleitspray 300ml, Würth;141468.0;MATUSETRANS;-1.0;HKO1;;;;;;;WO1921556;Lubricant;TECH-CONS;PM-FS;;9,97;9,97;HKO1;285-109;NEW
2025-03-10;ISSUE;56332_ITEM;KLIMAANLAGEN-SPRAY;141469.0;MATUSETRANS;-1.0;HKO1;;;;;;;WO1921556;Lubricant;HE;PM-FS;;13,61;13,61;HKO1;285-109;NEW
2025-03-10;ISSUE;13443_ITEM;Filtermatte für Fahrmotorlüfter (Grün);141235.0;MATUSETRANS;-4.0;DKR1;;;;ORT1081;;41223.0;WO1952727;SparePart;HE;PM-FS;;1,07;4,28;DKR1;241-007;NEW
2025-03-10;ISSUE;13620_ITEM;Filtermatte Klimagerät, 290x650x22mm;141236.0;MATUSETRANS;-2.0;DKR1;;;;ORT1081;;41223.0;WO1952727;SparePart;LC;PM-FS;;1,9;3,8;DKR1;241-007;NEW
2025-03-10;TRANSFER;56592_ITEM;Schleifstück SK1091-SK85ACu BöKleb, Schunk (PL);222279.0;MATRECTRANS;2.0;PPO1;;PPO1;Schleifleistenregal;;;41374.0;;SparePart;FB;;;715,08;1430,16;MARCIN.LIPINSKI-ST;;
2025-03-10;INSERTITEM;13919_ITEM;Umwälzpumpe Trafokühlung B2/123/80ES;3127903.0;INVTRANS;0.0;DTA1;;;;;;;;SparePart;HE;;;0;0;;;
2025-03-10;TRANSFER;12640_ITEM;Kohleschleifstück SK835 SK85Cu (NL) mit 15°-Enden;222280.0;MATRECTRANS;2.0;PPO1;;PPO1;;;;41377.0;;SparePart;FB;;;279,39;558,78;MARCIN.LIPINSKI-ST;;
2025-03-10;SHIPTRANSFER;13919_ITEM;Umwälzpumpe Trafokühlung B2/123/80ES;222581.0;MATRECTRANS;1.0;DTA1;DKR1A03303;DTA1;DTA1000EIN;;;41372.0;;SparePart;HE;;;295,2;295,2;DKR1;;
2025-03-10;STAGETRANSFER;12806_ITEM;Dosier-Pumpe DP-P G1/4, 10bar;222149.0;MATRECTRANS;1.0;PPO1;2A4;PPO1;2A4;;;41191.0;;SparePart;MC;;REPAIRED;0;0;PPO1;;
2025-03-10;TRANSFER;56592_ITEM;Schleifstück SK1091-SK85ACu BöKleb, Schunk (PL);222281.0;MATRECTRANS;2.0;MICHAL.NAWROT-ST;Schleifleistenregal;MICHAL.NAWROT-ST;;;;41378.0;;SparePart;FB;;;715,08;1430,16;PPO1;;
2025-03-10;TRANSFER;12639_ITEM;Kohleschleifstück SK745 SK85W (D) mit 90°-Enden;222282.0;MATRECTRANS;2.0;MICHAL.NAWROT-ST;Schleifleistenregal;MICHAL.NAWROT-ST;;;;41378.0;;SparePart;FB;;;93,67;187,34;PPO1;;
2025-03-10;TRANSFER;12640_ITEM;Kohleschleifstück SK835 SK85Cu (NL) mit 15°-Enden;222283.0;MATRECTRANS;1.0;MICHAL.NAWROT-ST;Schleifleistenregal;MICHAL.NAWROT-ST;;;;41378.0;;SparePart;FB;;;279,39;279,39;PPO1;;
